dataset_name,classifier_name,train_time_0,train_time_1,train_time_2,train_time_3,train_time_4,train_time,train_time_std
SemgHandSubjectCh2,UCRSuite_LOOCV,85200.238527013,,,,,85200.238527013,0.0
FiftyWords,UCRSuite_LOOCV,1494.612456326,,,,,1494.612456326,0.0
WordSynonyms,UCRSuite_LOOCV,645.958382251,,,,,645.958382251,0.0
CBF,UCRSuite_LOOCV,5.358890415,,,,,5.358890415,0.0
SonyAIBORobotSurface2,UCRSuite_LOOCV,1.13571888,,,,,1.13571888,0.0
Strawberry,UCRSuite_LOOCV,1478.174255984,,,,,1478.174255984,0.0
AllGestureWiimoteX,UCRSuite_LOOCV,1937.848920725,,,,,1937.848920725,0.0
AllGestureWiimoteY,UCRSuite_LOOCV,1496.250763921,,,,,1496.250763921,0.0
AllGestureWiimoteZ,UCRSuite_LOOCV,1269.268099485,,,,,1269.268099485,0.0
EthanolLevel,UCRSuite_LOOCV,46066.00120064,,,,,46066.00120064,0.0
Symbols,UCRSuite_LOOCV,14.000499544,,,,,14.000499544,0.0
PLAID,UCRSuite_LOOCV,39834.142330402,,,,,39834.142330402,0.0
ItalyPowerDemand,UCRSuite_LOOCV,1.516804215,,,,,1.516804215,0.0
SwedishLeaf,UCRSuite_LOOCV,540.422835736,,,,,540.422835736,0.0
MedicalImages,UCRSuite_LOOCV,64.766545808,,,,,64.766545808,0.0
TwoLeadECG,UCRSuite_LOOCV,0.711236694,,,,,0.711236694,0.0
ShapesAll,UCRSuite_LOOCV,8880.935530469,,,,,8880.935530469,0.0
MoteStrain,UCRSuite_LOOCV,0.542613362,,,,,0.542613362,0.0
HandOutlines,UCRSuite_LOOCV,339876.44,,,,,339876.44,0.0
CinCECGTorso,UCRSuite_LOOCV,2237.141253456,,,,,2237.141253456,0.0
Phoneme,UCRSuite_LOOCV,14180.798020424,,,,,14180.798020424,0.0
InsectWingbeatSound,UCRSuite_LOOCV,386.616939942,,,,,386.616939942,0.0
FaceAll,UCRSuite_LOOCV,1401.772665752,,,,,1401.772665752,0.0
FacesUCR,UCRSuite_LOOCV,183.192330686,,,,,183.192330686,0.0
Mallat,UCRSuite_LOOCV,612.573211014,,,,,612.573211014,0.0
MixedShapesSmallTrain,UCRSuite_LOOCV,1731.070787961,,,,,1731.070787961,0.0
PhalangesOutlinesCorrect,UCRSuite_LOOCV,2795.149816432,,,,,2795.149816432,0.0
FreezerSmallTrain,UCRSuite_LOOCV,7.543190758,,,,,7.543190758,0.0
MixedShapesRegularTrain,UCRSuite_LOOCV,29849.120842093,,,,,29849.120842093,0.0
FreezerRegularTrain,UCRSuite_LOOCV,78.838855665,,,,,78.838855665,0.0
Yoga,UCRSuite_LOOCV,876.976090316,,,,,876.976090316,0.0
MelbournePedestrian,UCRSuite_LOOCV,241.352637433,,,,,241.352637433,0.0
NonInvasiveFetalECGThorax1,UCRSuite_LOOCV,95854.4,,,,,95854.4,0.0
NonInvasiveFetalECGThorax2,UCRSuite_LOOCV,97771.488,,,,,97771.488,0.0
ChlorineConcentration,UCRSuite_LOOCV,386.391657715,,,,,386.391657715,0.0
FordB,UCRSuite_LOOCV,259086.897033725,,,,,259086.897033725,0.0
UWaveGestureLibraryAll,UCRSuite_LOOCV,42975.374336,,,,,42975.374336,0.0
UWaveGestureLibraryX,UCRSuite_LOOCV,5513.631642693,,,,,5513.631642693,0.0
UWaveGestureLibraryY,UCRSuite_LOOCV,7374.524465347,,,,,7374.524465347,0.0
UWaveGestureLibraryZ,UCRSuite_LOOCV,3603.127945556,,,,,3603.127945556,0.0
FordA,UCRSuite_LOOCV,160375.01,,,,,160375.01,0.0
ECG5000,UCRSuite_LOOCV,393.798009418,,,,,393.798009418,0.0
TwoPatterns,UCRSuite_LOOCV,5385.244817631,,,,,5385.244817631,0.0
Wafer,UCRSuite_LOOCV,382.402709803,,,,,382.402709803,0.0
StarLightCurves,UCRSuite_LOOCV,59290.24,,,,,59290.24,0.0
ElectricDevices,UCRSuite_LOOCV,43843.84139264,,,,,43843.84139264,0.0
Crop,UCRSuite_LOOCV,15685.220700631,,,,,15685.220700631,0.0
BeetleFly,EAP_LOOCV,10.199849797,,,,,10.199849797,0.0
BirdChicken,EAP_LOOCV,7.367155049,,,,,7.367155049,0.0
Coffee,EAP_LOOCV,4.436791616,,,,,4.436791616,0.0
Beef,EAP_LOOCV,12.804160678,,,,,12.804160678,0.0
OliveOil,EAP_LOOCV,9.332966368,,,,,9.332966368,0.0
Rock,EAP_LOOCV,173.541524441,,,,,173.541524441,0.0
